"Дата";"Регион";"Регион население";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
03.07.2020;Хабаровский край;1328302;4481;2213;30;1;95;13
03.08.2020;Кабардино-Балкария;865828;6024;5578;71;1;16;18
22.04.2021;Тверская обл.;1283873;39353;37441;847;8;78;82
24.03.2021;Калмыкия;275413;19780;18937;310;1;26;15
23.12.2020;ХМАО – Югра;1655074;39508;35424;510;5;225;228
20.05.2020;Санкт-Петербург;5351935;11795;2480;99;4;455;208
02.02.2021;Калининградская обл.;994599;24449;21630;218;0;187;201
30.05.2020;Свердловская обл.;4325256;5184;2142;26;1;261;145
27.07.2020;Башкортостан;4063293;6607;4861;21;0;36;31
03.11.2020;Саха (Якутия);964330;14237;8821;151;7;195;105
26.06.2020;Тюменская обл.;1498779;2827;1684;16;0;61;38
18.06.2020;Ставропольский край;2800674;4018;2221;75;3;90;92
15.09.2020;Смоленская обл.;949348;6358;5568;136;1;9;4
21.04.2021;Мурманская обл.;753557;50125;47528;1140;2;25;34
27.04.2020;Удмуртия;1513044;207;19;5;1;5;0
23.10.2020;Новосибирская обл.;2788849;15861;13451;552;4;175;98
03.04.2021;Владимирская обл.;1378337;30187;27265;1006;5;70;79
21.09.2020;Рязанская обл.;1121474;7816;6565;47;0;35;0
11.04.2021;Татарстан;3894284;19802;16928;435;2;34;13
20.03.2021;Карачаево-Черкессия;466305;19484;18123;69;1;13;59
10.03.2021;Саратовская обл.;2462950;51354;46224;695;8;172;121
24.07.2020;Приморский край;1913037;6060;4525;67;0;112;91
29.03.2020;Забайкальский край;1072806;1;1;0;0;0;0
31.12.2020;Вологодская обл.;1176689;23435;18687;425;9;354;350
11.04.2020;Москва;12506468;8852;499;58;8;1030;149
22.12.2020;Еврейская АО;162014;3568;2455;62;0;26;18
21.05.2020;Санкт-Петербург;5351935;12203;2661;104;5;408;181
24.04.2021;Тверская обл.;1283873;39500;37602;857;7;72;80
31.05.2020;Свердловская обл.;4325256;5449;2173;27;1;265;31
05.06.2020;Бурятия;984511;1681;999;10;0;48;24
01.08.2020;Хакасия;537513;2855;2516;32;0;19;25
06.01.2021;Калининградская обл.;994599;19077;17244;189;2;215;201
17.03.2020;Адыгея;453376;0;0;0;0;0;0
25.12.2020;ХМАО – Югра;1655074;39965;36102;516;2;228;343
04.07.2020;Хабаровский край;1328302;4555;2223;30;0;74;10
02.08.2020;Кабардино-Балкария;865828;6008;5560;70;0;15;21
26.12.2020;Ямало-Ненецкий АО;538547;31244;23700;319;3;176;229
27.02.2021;Мордовия;805056;17787;15785;159;0;50;40
13.03.2020;Тверская обл.;1283873;0;0;0;0;0;0
25.10.2020;Карачаево-Черкессия;466305;9084;5307;30;0;87;17
13.09.2020;Пензенская обл.;1331655;9296;8245;117;0;85;11
29.05.2020;Алтайский край;2350080;1708;732;12;2;75;13
12.07.2020;Астраханская обл.;1017514;3910;2630;35;0;37;30
18.04.2020;Воронежская обл.;2333768;130;24;5;4;22;0
08.08.2020;Новгородская обл.;606476;3886;2741;72;0;14;25
15.01.2021;Магаданская обл.;144091;7459;7000;73;0;28;30
22.08.2020;Белгородская обл.;1549876;6990;6142;51;0;46;56
05.08.2020;Ингушетия;488043;3770;3162;74;0;15;145
06.04.2021;Орловская обл.;747247;32799;30149;512;2;60;68
24.02.2021;Удмуртия;1513044;27852;24551;610;5;95;94
04.05.2020;Тульская обл.;1491855;1293;155;8;0;75;12
25.09.2020;Карелия;622484;3788;2745;17;0;48;11
08.02.2021;Амурская обл.;798424;20134;18484;144;1;72;68
19.05.2020;Камчатский край;315557;515;134;2;1;20;3
26.03.2021;Забайкальский край;1072806;40771;39251;588;1;56;59
27.11.2020;Калужская обл.;1012156;15571;13208;109;3;140;212
14.04.2020;Саратовская обл.;2462950;49;6;0;0;5;2
02.06.2020;Северная Осетия;701765;3055;2070;56;6;50;102
28.11.2020;Марий Эл;682333;7475;6485;91;1;52;57
04.11.2020;Москва;12506468;445181;325531;7004;68;5826;3852
14.07.2020;Иркутская обл.;2404195;10495;4727;98;4;198;184
11.01.2021;Кировская обл.;1283238;28177;21847;242;1;226;246
16.12.2020;Дагестан;3063885;21125;18279;1043;5;152;94
18.07.2020;Курская обл.;1115237;5828;4132;49;0;29;52
31.12.2020;Бурятия;984511;25724;23134;591;5;189;198
05.02.2021;Оренбургская обл.;1977720;34859;31069;502;4;150;164
20.04.2021;Красноярский край;2876497;69188;63830;3394;12;117;95
02.11.2020;Кемеровская обл.;2694877;15625;11296;227;0;197;218
13.11.2020;Адыгея;453376;6679;5420;58;0;77;69
28.04.2021;Нижегородская обл.;3234752;113622;108896;3152;10;179;187
10.10.2020;Ненецкий АО;43997;348;136;0;0;6;0
05.10.2020;Ульяновская обл.;1246618;16155;13554;173;1;145;63
23.07.2020;Омская обл.;1960081;5854;3572;56;2;129;152
24.10.2020;Ленинградская обл.;1813816;10530;6197;109;0;128;52
11.08.2020;Калмыкия;275413;3052;2186;42;0;5;21
20.07.2020;Курганская обл.;845537;1803;861;3;0;51;24
28.04.2020;Мордовия;805056;592;36;2;0;32;0
04.12.2020;Самарская обл.;3193514;23399;21047;439;4;266;403
05.05.2020;Костромская обл.;643324;278;64;3;0;12;4
25.10.2020;Краснодарский край;5603420;16603;11383;385;6;130;24
01.06.2020;Волгоградская обл.;2521276;3215;1031;20;1;189;8
16.09.2020;Томская обл.;1078280;6530;5314;77;0;51;63
19.09.2020;Свердловская обл.;4325256;27679;21087;567;8;125;60
06.10.2020;Ставропольский край;2800674;16978;12115;334;2;151;107
09.09.2020;Санкт-Петербург;5351935;38436;26664;2574;22;218;111
20.08.2020;Нижегородская обл.;3234752;26264;23322;441;3;132;183
12.08.2020;Красноярский край;2876497;14691;12281;376;5;123;72
27.12.2020;ХМАО – Югра;1655074;40414;36680;525;6;223;280
26.03.2021;Курганская обл.;845537;19014;17261;346;0;43;51
26.04.2021;Тверская обл.;1283873;39639;37755;865;4;69;75
12.03.2020;Кабардино-Балкария;865828;0;0;0;0;0;0
14.04.2020;Хабаровский край;1328302;54;7;2;0;0;0
20.12.2020;Еврейская АО;162014;3514;2410;62;1;29;10
18.03.2021;Астраханская обл.;1017514;29790;25729;622;4;74;314
01.05.2020;Новосибирская обл.;2788849;526;80;5;1;55;2
27.05.2020;Смоленская обл.;949348;1853;621;25;4;84;40
24.04.2021;Новгородская обл.;606476;29685;27570;121;0;36;79
18.02.2021;Архангельская обл.;1111031;55136;49181;579;12;175;201
02.12.2020;Московская обл.;7503385;113278;80550;2124;32;1148;76
28.10.2020;Татарстан;3894284;8282;7258;105;0;47;162
09.02.2021;Ростовская обл.;4220452;66966;57052;2833;24;356;417
19.09.2020;Рязанская обл.;1121474;7747;6565;47;0;35;18
20.07.2020;Забайкальский край;1072806;3927;3155;47;0;30;18
24.06.2020;Тюменская обл.;1498779;2717;1621;16;0;50;41
29.05.2020;Тыва;321722;942;86;2;0;66;3
25.07.2020;Башкортостан;4063293;6536;4825;21;0;36;44
05.11.2020;Саха (Якутия);964330;14633;9072;161;5;199;124
05.12.2020;Ивановская обл.;1014646;16629;12160;275;8;163;183
18.09.2020;Томская обл.;1078280;6645;5411;78;1;62;72
06.12.2020;Самарская обл.;3193514;23939;21655;451;4;271;301
12.10.2020;Ненецкий АО;43997;353;136;0;0;2;0
21.07.2020;Омская обл.;1960081;5607;3290;54;2;104;108
02.04.2021;Дагестан;3063885;31138;28810;1411;0;44;43
14.04.2021;Кабардино-Балкария;865828;23319;22368;431;0;32;45
10.03.2021;Хабаровский край;1328302;49486;46904;304;2;52;67
22.09.2020;Волгоградская обл.;2521276;14256;12509;132;1;98;133
14.12.2020;Сахалинская обл.;490181;13264;9926;11;1;138;56
20.07.2020;Курская обл.;1115237;5893;4132;49;0;32;0
09.01.2021;Кировская обл.;1283238;27720;21359;240;2;229;231
25.09.2020;Костромская обл.;643324;4499;3285;62;3;45;18
27.04.2021;Адыгея;453376;14395;13829;173;0;11;10
29.03.2020;Курганская обл.;845537;1;0;0;0;0;0
16.07.2020;Иркутская обл.;2404195;10881;5625;109;2;196;347
30.04.2020;Ленинградская обл.;1813816;885;115;1;0;51;0
13.01.2021;Челябинская обл.;3493036;38567;25278;614;10;289;390
15.05.2020;Ульяновская обл.;1246618;1081;246;5;0;69;24
17.04.2020;Чечня;1436981;115;15;5;0;7;0
01.03.2021;Тамбовская обл.;1033552;26391;24121;346;3;118;49
09.08.2020;Чувашия;1231117;7042;4312;64;2;32;67
11.03.2021;Марий Эл;682333;12072;11038;181;1;25;41
20.11.2020;Ярославская обл.;1265684;14590;13920;73;3;180;411
04.06.2020;Белгородская обл.;1549876;2624;1151;22;0;76;69
04.04.2021;Москва;12506468;1034567;949843;16872;56;1901;998
29.11.2020;Калужская обл.;1012156;15850;13916;109;0;137;277
02.04.2020;Татарстан;3894284;19;2;0;0;0;0
12.10.2020;Воронежская обл.;2333768;20262;17911;209;0;204;92
02.05.2020;Тульская обл.;1491855;1135;138;7;0;88;17
11.08.2020;Мурманская обл.;753557;11517;8150;101;3;78;189
06.02.2021;Амурская обл.;798424;19986;18327;142;1;80;92
28.07.2020;Владимирская обл.;1378337;5516;5126;128;3;26;13
21.03.2020;Астраханская обл.;1017514;0;0;0;0;0;0
25.05.2020;Пензенская обл.;1331655;1803;1255;15;2;94;16
21.09.2020;Северная Осетия;701765;5508;4609;68;0;34;0
04.04.2021;Орловская обл.;747247;32677;30017;507;4;61;67
04.07.2020;Саратовская обл.;2462950;6844;3748;45;0;98;68
07.04.2021;Приморский край;1913037;42708;39817;690;1;47;146
07.09.2020;Камчатский край;315557;3955;3195;42;0;13;0
27.05.2020;Алтайский край;2350080;1554;692;10;1;69;22
07.12.2020;Орловская обл.;747247;17140;14837;213;0;162;9
07.02.2021;Ростовская обл.;4220452;66251;56247;2800;10;360;397
30.11.2020;Московская обл.;7503385;111026;79847;2071;20;1064;592
26.04.2021;Новгородская обл.;606476;29757;27736;121;0;35;78
20.02.2021;Архангельская обл.;1111031;55481;49567;595;16;171;191
15.04.2021;Дагестан;3063885;31691;29330;1424;1;41;40
13.03.2021;Адыгея;453376;13933;12537;156;0;10;25
29.05.2020;Смоленская обл.;949348;2024;705;30;1;91;43
15.02.2021;Тульская обл.;1491855;31320;28881;1146;8;145;170
20.03.2021;Астраханская обл.;1017514;29938;26349;630;4;73;316
25.04.2020;Амурская обл.;798424;33;5;0;0;5;0
29.04.2020;Новосибирская обл.;2788849;436;63;4;0;29;10
20.01.2021;Тыва;321722;15227;14020;185;2;30;29
28.06.2020;Чукотский АО;49348;138;125;1;0;0;0
18.07.2020;Забайкальский край;1072806;3867;3108;47;0;32;112
12.04.2021;Калужская обл.;1012156;33048;30922;295;0;59;67
05.01.2021;Алтайский край;2350080;33957;31332;926;9;209;168
14.09.2020;Брянская обл.;1210982;8687;7080;35;0;42;14
10.08.2020;Красноярский край;2876497;14446;12141;365;4;127;24
18.08.2020;Нижегородская обл.;3234752;25994;22819;436;3;116;115
27.07.2020;Псковская обл.;636546;3618;2410;52;1;36;0
29.06.2020;Севастополь;436670;229;174;4;0;1;0
07.09.2020;Санкт-Петербург;5351935;38008;26430;2532;0;196;65
18.08.2020;Тыва;321722;6520;5769;60;0;19;104
21.09.2020;Свердловская обл.;4325256;27922;21204;568;0;123;59
13.08.2020;Ставропольский край;2800674;9699;6661;186;3;105;79
14.03.2020;Кабардино-Балкария;865828;0;0;0;0;0;0
12.04.2020;Хабаровский край;1328302;29;7;2;0;0;0
31.05.2020;Кировская обл.;1283238;1683;978;17;2;54;28
03.04.2021;Самарская обл.;3193514;56333;53078;1126;9;201;215
28.03.2021;Курганская обл.;845537;19099;17369;347;0;43;52
20.03.2021;Москва;12506468;1009952;929925;16078;54;1728;1769
29.04.2021;Марий Эл;682333;13046;12434;228;0;15;17
19.06.2020;Чувашия;1231117;4401;2424;21;0;70;63
23.05.2020;Пензенская обл.;1331655;1612;1146;13;0;102;70
10.10.2020;Воронежская обл.;2333768;19855;17629;207;6;201;229
13.08.2020;Мурманская обл.;753557;11656;8469;107;3;67;149
26.07.2020;Владимирская обл.;1378337;5462;5111;124;1;29;8
19.03.2020;Астраханская обл.;1017514;0;0;0;0;0;0
06.06.2020;Белгородская обл.;1549876;2769;1326;25;3;74;90
08.07.2020;Липецкая обл.;1150201;4060;2719;19;1;34;43
18.11.2020;Ярославская обл.;1265684;14235;13195;70;0;176;436
11.07.2020;Чечня;1436981;1821;1240;26;0;7;2
03.03.2021;Саха (Якутия);964330;32669;31263;517;1;41;85
08.04.2021;Крым;1913731;38309;35886;1112;5;91;73
09.04.2021;Приморский край;1913037;42803;40031;693;1;46;98
09.09.2020;Камчатский край;315557;3981;3202;42;0;14;6
02.07.2020;Саратовская обл.;2462950;6645;3569;44;0;99;19
19.09.2020;Северная Осетия;701765;5440;4607;68;0;32;8
25.03.2020;Саха (Якутия);964330;10;0;0;0;3;0
24.04.2021;ХМАО – Югра;1655074;55691;54373;790;0;67;72
25.12.2020;Тверская обл.;1283873;20843;16025;441;3;236;535
28.08.2020;Пермский край;2623122;7697;5395;209;3;59;40
21.04.2021;Еврейская АО;162014;4465;4276;125;0;1;2
24.04.2021;Алтай;218063;16790;16495;228;2;6;2
07.12.2020;Ивановская обл.;1014646;16964;12259;291;10;168;56
27.02.2021;Тамбовская обл.;1033552;26154;23986;341;3;119;195
13.03.2020;ХМАО – Югра;1655074;0;0;0;0;0;0
28.04.2020;Ленинградская обл.;1813816;781;105;0;0;38;25
12.12.2020;Татарстан;3894284;11412;10007;164;3;89;85
15.01.2021;Челябинская обл.;3493036;39152;26039;634;9;293;390
17.05.2020;Ульяновская обл.;1246618;1260;276;5;0;101;13
27.03.2020;Курганская обл.;845537;1;0;0;0;0;0
23.09.2020;Костромская обл.;643324;4417;3239;59;1;38;26
12.12.2020;Сахалинская обл.;490181;12963;9870;10;0;140;72
20.09.2020;Волгоградская обл.;2521276;14063;12363;131;1;98;29
27.02.2021;Чечня;1436981;11287;10727;111;0;12;35
12.04.2021;Кабардино-Балкария;865828;23255;22280;431;0;34;35
23.04.2021;Коми;840873;42994;41786;881;3;44;41
14.09.2020;Коми;840873;7114;6094;91;0;53;0
12.03.2021;Хабаровский край;1328302;49602;47041;308;2;59;69
21.12.2020;Москва;12506468;743697;572541;10469;75;7797;4798
02.06.2020;Свердловская обл.;4325256;6024;2510;31;2;292;173
11.11.2020;Марий Эл;682333;6619;5380;72;3;47;138
23.01.2021;Карачаево-Черкессия;466305;17003;15343;49;0;77;74
08.09.2020;Карелия;622484;3321;2388;16;0;5;27
19.05.2020;Санкт-Петербург;5351935;11340;2272;95;5;453;63
05.04.2021;Самарская обл.;3193514;56732;53485;1146;11;199;196
02.06.2020;Кировская обл.;1283238;1828;981;17;0;77;0
17.07.2020;Ингушетия;488043;3393;2533;71;0;27;2
13.09.2020;Алтай;218063;2514;2096;11;0;37;16
06.01.2021;Удмуртия;1513044;20940;17256;407;3;213;203
13.11.2020;Калининградская обл.;994599;8483;5482;105;0;145;106
27.06.2020;Севастополь;436670;223;173;3;0;3;2
24.12.2020;Ямало-Ненецкий АО;538547;30893;23236;314;2;177;223
25.07.2020;Псковская обл.;636546;3554;2410;51;2;20;52
09.12.2020;Крым;1913731;17661;13500;345;8;278;315
02.07.2020;Хабаровский край;1328302;4386;2200;29;0;86;18
04.08.2020;Кабардино-Балкария;865828;6039;5597;71;0;15;19
19.04.2021;Мурманская обл.;753557;50072;47480;1137;1;30;10
07.01.2021;Алтайский край;2350080;34365;31806;943;9;203;254
12.09.2020;Брянская обл.;1210982;8606;7046;35;0;35;19
21.10.2020;Новосибирская обл.;2788849;15506;13259;542;3;186;92
05.04.2021;Владимирская обл.;1378337;30327;27413;1013;4;69;72
17.09.2020;Смоленская обл.;949348;6378;5596;137;0;9;20
25.12.2020;Алтай;218063;13429;12746;89;4;98;61
18.06.2020;Мордовия;805056;2818;1755;22;0;56;58
14.04.2021;Калужская обл.;1012156;33170;31063;298;0;62;72
30.06.2020;Чукотский АО;49348;138;129;1;0;0;4
28.08.2020;Крым;1913731;2187;1585;30;2;56;28
25.06.2020;Калмыкия;275413;1392;1014;21;0;30;18
29.12.2020;Вологодская обл.;1176689;22725;17967;410;15;351;366
24.12.2020;Коми;840873;28377;25347;542;8;305;375
17.02.2021;Тульская обл.;1491855;31603;29198;1161;8;142;153
27.04.2020;Амурская обл.;798424;40;5;0;0;4;0
